Event ID,Crossed MODULE ID,Detector Type
196346,42,cylinder
196347,66,cylinder
196348,19,cylinder
196349,74,cylinder
196349,142,planar_right
196350,27,cylinder
196351,16,cylinder
196352,371,planar_left
196352,64,cylinder
196353,49,cylinder
196354,27,cylinder
196355,41,cylinder
196356,24,cylinder
196357,34,cylinder
196358,40,cylinder
196359,17,cylinder
196359,574,planar_left
196359,129,planar_right
196360,33,cylinder
196361,24,cylinder
196362,26,cylinder
196362,576,planar_left
196363,50,cylinder
196364,65,cylinder
196364,208,planar_right
196365,32,cylinder
196366,65,cylinder
196367,65,cylinder
196368,26,cylinder
196369,65,cylinder
196370,50,cylinder
196371,25,cylinder
196372,51,cylinder
196373,354,planar_left
196373,72,cylinder
196374,58,cylinder
196375,59,cylinder
196376,272,planar_right
196376,18,cylinder
196376,431,planar_left
196377,597,planar_left
196377,59,cylinder
196378,32,cylinder
196379,27,cylinder
196380,50,cylinder
196381,25,cylinder
196381,416,planar_left
196382,72,cylinder
196382,347,planar_right
196383,50,cylinder
196384,59,cylinder
196385,24,cylinder
196386,74,cylinder
196387,51,cylinder
196388,65,cylinder
196389,19,cylinder
196389,363,planar_left
196390,114,planar_right
196390,40,cylinder
196391,26,cylinder
196392,50,cylinder
196392,528,planar_left
196393,25,cylinder
196394,33,cylinder
196395,73,cylinder
196396,75,cylinder
196396,107,planar_right
196397,56,cylinder
196398,65,cylinder
196399,67,cylinder
196400,64,cylinder
196401,25,cylinder
196402,51,cylinder
196403,49,cylinder
196404,50,cylinder
196405,50,cylinder
196405,512,planar_left
196406,73,cylinder
196407,26,cylinder
196408,18,cylinder
196408,414,planar_left
196409,74,cylinder
196410,73,cylinder
196411,98,planar_right
196411,64,cylinder
196412,72,cylinder
196413,72,cylinder
196414,49,cylinder
196415,43,cylinder
196416,24,cylinder
196417,49,cylinder
196418,24,cylinder
196419,74,cylinder
196420,32,cylinder
196421,16,cylinder
196422,26,cylinder
196423,72,cylinder
196424,17,cylinder
196425,49,cylinder
